"Id","SalePrice"
1461,112623.185627873
1462,151845.146943223
1463,182858.758608345
1464,191444.44184633
1465,201663.657260359
1466,163051.140017251
1467,185131.337643181
1468,159966.955031474
1469,184060.690875838
1470,117318.810698893
1471,169377.727726475
1472,90985.962408019
1473,90655.3963396243
1474,138631.11986199
1475,105575.470135503
1476,334347.023239262
1477,237914.091433349
1478,302145.509603343
1479,284150.993427706
1480,440694.893822506
1481,319175.721508894
1482,203887.853606926
1483,177317.659985719
1484,160250.908654079
1485,181564.715056781
1486,184574.150166871
1487,310944.572379551
1488,237662.168737356
1489,192167.660844913
1490,244548.058523134
1491,183708.06699794
1492,94634.3897655526
1493,198583.598432777
1494,298155.991219336
1495,275678.112354511
1496,225300.413310894
1497,181375.064590218
1498,161428.375846213
1499,162763.475368679
1500,151672.229522754
1501,174041.008169626
1502,142993.44976767
1503,282672.901569099
1504,234180.411825137
1505,228330.160457626
1506,176319.971114377
1507,225562.205532643
1508,192187.329562886
1509,153225.408909465
1510,140204.408908458
1511,141068.311514581
1512,161963.143866523
1513,140164.281488631
1514,146649.829356304
1515,187370.073018038
1516,152625.777677211
1517,164263.56031767
1518,122180.654946915
1519,204001.310257848
1520,122753.262065622
1521,122853.162162043
1522,164806.075203817
1523,107748.718505624
1524,119301.008006331
1525,114312.236630259
1526,115599.909661875
1527,103385.411391115
1528,147463.325135239
1529,148428.81874265
1530,163103.008394109
1531,100928.588178872
1532,93483.6797524669
1533,136302.256249986
1534,119243.49981737
1535,155195.258735326
1536,108686.471364439
1537,67799.5260143646
1538,143449.96021165
1539,205317.005046445
1540,93005.6628544939
1541,127039.470892437
1542,149470.52269271
1543,191247.311394596
1544,83169.58610198
1545,112878.619362595
1546,123662.543356851
1547,117889.937739843
1548,128194.261049635
1549,112131.409472703
1550,122786.396209356
1551,105247.970123051
1552,126890.633268691
1553,131400.859114897
1554,107782.630837454
1555,168534.684588991
1556,84243.7921236185
1557,110697.425736921
1558,90376.6782129082
1559,54567.5372087791
1560,135206.589411618
1561,131174.407601537
1562,124677.970411539
1563,111942.014556125
1564,155860.40783163
1565,142676.02308221
1566,241712.202169541
1567,73971.1801406228
1568,229637.466627258
1569,128124.581233629
1570,120647.671316027
1571,111609.48638022
1572,136389.033542935
1573,201873.950382524
1574,117743.839541101
1575,226516.413655041
1576,214936.504567479
1577,175901.265751043
1578,128996.827967033
1579,157441.81251526
1580,193738.129093078
1581,158361.083895524
1582,121164.710162385
1583,269405.544475954
1584,205655.424916869
1585,126359.982050804
1586,66771.8116049705
1587,94482.5283957192
1588,139118.165579046
1589,97130.8739176889
1590,123418.03814381
1591,87353.1218577787
1592,126919.534903955
1593,115591.788119203
1594,115638.822798727
1595,111975.157671122
1596,209071.441446288
1597,190777.95206228
1598,231316.570629982
1599,147356.617638448
1600,147175.728923842
1601,67164.1727019559
1602,107956.263813883
1603,63551.0705320661
1604,228172.426516652
1605,220889.12761498
1606,162887.687010914
1607,149789.476767272
1608,199622.596713073
1609,173635.591575077
1610,148406.210804926
1611,126395.31257201
1612,177410.526982595
1613,168039.260601295
1614,107697.896121239
1615,82322.3047400353
1616,74798.3657620807
1617,86066.0062783754
1618,122886.473915919
1619,139081.199369996
1620,157119.085159955
1621,133472.999121446
1622,133155.024476891
1623,229734.508301181
1624,204724.273565379
1625,107366.130519999
1626,158457.28795316
1627,191123.448466794
1628,245223.05456469
1629,174931.896910761
1630,341518.745674882
1631,231159.448457015
1632,245937.007132837
1633,163829.770949496
1634,181382.207864759
1635,165860.986081919
1636,149055.593214223
1637,203700.821007524
1638,178899.520256018
1639,175398.707028945
1640,229095.979078767
1641,175742.713406431
1642,239126.463648366
1643,219810.965071958
1644,241466.918871558
1645,181451.749563235
1646,150740.646748659
1647,143769.817608408
1648,122856.156726014
1649,138235.357813254
1650,115058.703125427
1651,124174.344193179
1652,94641.9459017998
1653,93442.3088964543
1654,146285.254871486
1655,131862.553417293
1656,136748.820782846
1657,146647.676202043
1658,142947.803771421
1659,112734.936233351
1660,147457.65970522
1661,416269.155950309
1662,375606.01654974
1663,357950.030489644
1664,472122.760655306
1665,303703.800953982
1666,313068.645955434
1667,371266.5235364
1668,321676.095559701
1669,296982.038409757
1670,334187.962419314
1671,265716.648026562
1672,400890.940140116
1673,276216.32191748
1674,237985.544565298
1675,198756.769385898
1676,187869.561399941
1677,217623.903782507
1678,443680.962437362
1679,365710.149429669
1680,307049.801905066
1681,244521.228029473
1682,303420.617237764
1683,183066.173428238
1684,172835.640152403
1685,164618.727374427
1686,166375.516866747
1687,161985.000094357
